"day","machine","Plate","Well.ID","mean_OD","min_OD","init_OD"
19,2,1,157,0.15684375,0.156,0.15775
19,2,1,161,0.23909375,0.237,0.238375
19,2,1,185,0.237083333333333,0.236,0.237625
19,2,1,194,0.238520833333333,0.237,0.239
19,2,2,233,0.237375,0.235,0.238125
19,2,2,241,0.233677083333333,0.231,0.235
19,2,2,248,0.233145833333333,0.232,0.23675
19,2,2,297,0.229489583333333,0.228,0.2305
20,2,2,234,0.23453125,0.233,0.237125
20,2,2,262,0.23328125,0.232,0.234125
20,2,2,287,0.228864583333333,0.228,0.229875
21,2,1,106,0.23703125,0.234,0.240125
21,2,1,111,0.239604166666667,0.238,0.241
21,2,1,158,0.24040625,0.239,0.2415
21,2,1,188,0.2385625,0.238,0.239125
21,2,2,262,0.238041666666667,0.237,0.23825
21,2,2,270,0.238697916666667,0.237,0.24075
21,2,2,281,0.239041666666667,0.237,0.239625
21,2,2,285,0.2404375,0.239,0.24
22,2,1,117,0.23640625,0.235,0.238125
22,2,1,147,0.23659375,0.236,0.237875
22,2,1,156,0.237197916666667,0.236,0.23775
22,2,1,157,0.236864583333333,0.236,0.2385
22,2,1,159,0.237208333333333,0.236,0.23825
22,2,1,166,0.235520833333333,0.235,0.235625
22,2,1,171,0.240583333333333,0.24,0.241
22,2,1,179,0.234572916666667,0.234,0.23525
22,2,1,194,0.238979166666667,0.238,0.239125
22,2,2,201,0.234291666666667,0.231,0.237125
22,2,2,247,0.234791666666667,0.234,0.237125
22,2,2,259,0.244625,0.243,0.246375
22,2,2,287,0.23915625,0.233,0.23525
